"調査年 コード","調査年","JCODE","地域","male","female"
"2015100000","2015年度","01100","北海道 札幌市","80.70","87.20"
"2015100000","2015年度","01101","北海道 札幌市 中央区","80.80","87.50"
"2015100000","2015年度","01102","北海道 札幌市 北区","80.70","87.20"
"2015100000","2015年度","01103","北海道 札幌市 東区","80.40","86.90"
"2015100000","2015年度","01104","北海道 札幌市 白石区","79.80","86.50"
"2015100000","2015年度","01105","北海道 札幌市 豊平区","80.70","87.00"
"2015100000","2015年度","01106","北海道 札幌市 南区","80.90","87.70"
"2015100000","2015年度","01107","北海道 札幌市 西区","80.80","87.40"
"2015100000","2015年度","01108","北海道 札幌市 厚別区","80.90","87.30"
"2015100000","2015年度","01109","北海道 札幌市 手稲区","81.00","87.30"
"2015100000","2015年度","01110","北海道 札幌市 清田区","81.20","87.70"
"2015100000","2015年度","01202","北海道 函館市","79.00","85.60"
"2015100000","2015年度","01203","北海道 小樽市","79.70","86.30"
"2015100000","2015年度","01204","北海道 旭川市","80.40","87.10"
"2015100000","2015年度","01205","北海道 室蘭市","79.90","86.30"
"2015100000","2015年度","01206","北海道 釧路市","79.30","86.00"
"2015100000","2015年度","01207","北海道 帯広市","80.30","86.90"
"2015100000","2015年度","01208","北海道 北見市","80.20","87.10"
"2015100000","2015年度","01209","北海道 夕張市","79.60","86.60"
"2015100000","2015年度","01210","北海道 岩見沢市","79.80","86.60"
"2015100000","2015年度","01211","北海道 網走市","80.40","86.90"
"2015100000","2015年度","01212","北海道 留萌市","79.40","87.00"
"2015100000","2015年度","01213","北海道 苫小牧市","80.30","86.30"
"2015100000","2015年度","01214","北海道 稚内市","79.60","85.10"
"2015100000","2015年度","01215","北海道 美唄市","79.50","85.80"
"2015100000","2015年度","01216","北海道 芦別市","79.30","86.10"
"2015100000","2015年度","01217","北海道 江別市","81.70","87.10"
"2015100000","2015年度","01218","北海道 赤平市","78.90","86.60"
"2015100000","2015年度","01219","北海道 紋別市","79.10","86.20"
"2015100000","2015年度","01220","北海道 士別市","81.50","86.90"
"2015100000","2015年度","01221","北海道 名寄市","80.70","87.20"
"2015100000","2015年度","01222","北海道 三笠市","78.50","86.60"
"2015100000","2015年度","01223","北海道 根室市","79.80","86.20"
"2015100000","2015年度","01224","北海道 千歳市","81.20","87.10"
"2015100000","2015年度","01225","北海道 滝川市","80.00","86.20"
"2015100000","2015年度","01226","北海道 砂川市","80.80","86.80"
"2015100000","2015年度","01227","北海道 歌志内市","79.50","86.00"
"2015100000","2015年度","01228","北海道 深川市","80.30","86.80"
"2015100000","2015年度","01229","北海道 富良野市","80.60","86.60"
"2015100000","2015年度","01230","北海道 登別市","80.20","86.90"
"2015100000","2015年度","01231","北海道 恵庭市","80.80","87.10"
"2015100000","2015年度","01233","北海道 伊達市","80.20","86.70"
"2015100000","2015年度","01234","北海道 北広島市","81.00","88.00"
"2015100000","2015年度","01235","北海道 石狩市","80.60","87.10"
"2015100000","2015年度","01236","北海道 北斗市","79.40","85.90"
"2015100000","2015年度","01303","北海道 当別町","81.40","86.80"
"2015100000","2015年度","01304","北海道 新篠津村","79.70","86.70"
"2015100000","2015年度","01331","北海道 松前町","79.40","85.90"
"2015100000","2015年度","01332","北海道 福島町","79.70","85.80"
"2015100000","2015年度","01333","北海道 知内町","80.10","87.00"
"2015100000","2015年度","01334","北海道 木古内町","79.80","86.50"
"2015100000","2015年度","01337","北海道 七飯町","80.30","87.10"
"2015100000","2015年度","01343","北海道 鹿部町","80.10","86.70"
"2015100000","2015年度","01345","北海道 森町","79.00","86.40"
"2015100000","2015年度","01346","北海道 八雲町","78.80","86.40"
"2015100000","2015年度","01347","北海道 長万部町","80.50","86.50"
"2015100000","2015年度","01361","北海道 江差町","80.40","87.10"
"2015100000","2015年度","01362","北海道 上ノ国町","79.50","86.60"
"2015100000","2015年度","01363","北海道 厚沢部町","80.30","86.80"
"2015100000","2015年度","01364","北海道 乙部町","80.30","86.60"
"2015100000","2015年度","01367","北海道 奥尻町","80.00","86.40"
"2015100000","2015年度","01370","北海道 今金町","81.10","87.00"
"2015100000","2015年度","01371","北海道 せたな町","79.60","87.20"
"2015100000","2015年度","01391","北海道 島牧村","80.00","86.50"
"2015100000","2015年度","01392","北海道 寿都町","79.80","87.10"
